1777526065	51278
1777526207	285303
1777526449	73702
1777526742	87734
1777526770	36985
1777526771	9773
1777526784	89585
1777526920	107285
1777526960	108805
1777527132	110775
1777527175	118068
1777527245	124160
1777527345	133716
1777527525	172568
1777527747	190287
1777527836	200877
1777527922	214569
1777528113	230063
1777528222	253993
1777528245	258826
1777528266	153259
1777528266	36887
1777528407	47062
1777528408	5314
1777528525	43852
1777528525	4539
1777528648	273777
1777528675	25775
1777528676	6123
1777528826	3068
1777528863	281989
1777528891	51313
1777528891	10262
1777529304	23655
1777529305	3598
1777529482	142370
1777529482	7982
1777529652	55687
1777529652	8001
1777529808	30506
1777529809	5344
1777529905	47113
1777529905	4549
1777529948	7268
1777530044	42815
1777530045	4271
1777530131	301829
1777530144	17968
1777530144	4024
1777530212	28705
1777530212	2019
1777530325	25459
1777530326	4731
